INPUT — GASTOS,,,,,,,,,,,,,,,,,,,,,,
02-may-2026,Sueldos/Comisiones,,corte Maru,,MXN," $4.600,00",Tarjeta,,"1,00","4.600,00",2026-05,18,2026-05-Q1,,,,,,,,,
04-may-2026,Impuestos,,Pagos fiscal,,MXN," $3.000,00",Efectivo,,"1,00","3.000,00",2026-05,19,2026-05-Q1,,,,,,,,,
04-may-2026,,,cambio de tarjeta a efectivo,,MXN," $1.000,00",Tarjeta,,"1,00","1.000,00",2026-05,19,2026-05-Q1,,,,,,,,,
04-may-2026,,,cambio de tarjeta a efectivo,,MXN,"- $1.000,00",Efectivo,,"1,00","-1.000,00",2026-05,19,2026-05-Q1,,,,,,,,,
05-abr-2026,Renta,,local,,MXN," $1.349,00",Tarjeta,,"1,00","1.349,00",2026-04,14,2026-04-Q1,,,,,,,,,
05-may-2026,Renta,,local,,MXN," $16.000,00",Efectivo,,"1,00","16.000,00",2026-05,19,2026-05-Q1,,,,,,,,,
09-may-2026,Retiros -Mariana,,super,,MXN," $800,00",Efectivo,,"1,00","800,00",2026-05,19,2026-05-Q1,,,,,,,,,
09-may-2026,Renta,,Depto maru,,MXN," $11.000,00",Tarjeta,,"1,00","11.000,00",2026-05,19,2026-05-Q1,,,,,,,,,
11-may-2026,Gastos Operativos,,super waldos,,MXN," $384,00",Efectivo,,"1,00","384,00",2026-05,20,2026-05-Q1,,,,,,,,,
11-may-2026,Productos ,,kalami,,MXN," $725,00",Tarjeta,,"1,00","725,00",2026-05,20,2026-05-Q1,,,,,,,,,
14-may-2026,Retiros -Mariana,,gym,,MXN," $3.500,00",Tarjeta,,"1,00","3.500,00",2026-05,20,2026-05-Q1,,,,,,,,,
14-may-2026,Gastos Operativos,,serendipi impresiones,,MXN," $420,00",Tarjeta,,"1,00","420,00",2026-05,20,2026-05-Q1,,,,,,,,,
14-may-2026,Retiros -Mariana,,sipalitos,,MXN," $1.000,00",Tarjeta,,"1,00","1.000,00",2026-05,20,2026-05-Q1,,,,,,,,,
10-may-2026,Retiros -Mariana,,super,,MXN," $1.800,00",Tarjeta,,"1,00","1.800,00",2026-05,19,2026-05-Q1,,,,,,,,,
02-may-2026,Gastos Operativos,,suscripcion chat gpt ,,MXN," $400,00",Tarjeta,,"1,00","400,00",2026-05,18,2026-05-Q1,,,,,,,,,
02-may-2026,Retiros -Mariana,,pizzine ,,MXN," $580,00",Tarjeta,,"1,00","580,00",2026-05,18,2026-05-Q1,,,,,,,,,
04-may-2026,Otros,,apple,,MXN," $179,00",Tarjeta,,"1,00","179,00",2026-05,19,2026-05-Q1,,,,,,,,,
06-may-2026,Otros,,apple?,,MXN," $400,00",Tarjeta,,"1,00","400,00",2026-05,19,2026-05-Q1,,,,,,,,,
09-may-2026,Marketing,,publicidad,,MXN," $900,00",Tarjeta,,"1,00","900,00",2026-05,19,2026-05-Q1,,,,,,,,,
13-may-2026,Retiros -Mariana,,maru comida,,MXN," $555,00",Tarjeta,,"1,00","555,00",2026-05,20,2026-05-Q1,,,,,,,,,
13-may-2026,Marketing,,publicidad,,MXN," $1.167,00",Tarjeta,,"1,00","1.167,00",2026-05,20,2026-05-Q1,,,,,,,,,
13-may-2026,Gastos Operativos,,seven ,,MXN," $170,00",Tarjeta,,"1,00","170,00",2026-05,20,2026-05-Q1,,,,,,,,,
16-may-2026,Retiros -Mariana,,desayuno ,,MXN," $125,00",Tarjeta,,"1,00","125,00",2026-05,20,2026-05-Q2,,,,,,,,,
16-may-2026,Retiros -Mariana,,abasto,,MXN," $276,00",Tarjeta,,"1,00","276,00",2026-05,20,2026-05-Q2,,,,,,,,,
01-may-2026,Gastos Operativos,,fresha suscripcion,,MXN," $383,00",Tarjeta,,"1,00","383,00",2026-05,18,2026-05-Q1,,,,,,,,,
05-may-2026,,,cambio de tarjeta a efectivo,,MXN," $1.500,00",Tarjeta,,"1,00","1.500,00",2026-05,19,2026-05-Q1,,,,,,,,,
05-may-2026,,,cambio de tarjeta a efectivo,,MXN,"- $1.500,00",Efectivo,,"1,00","-1.500,00",2026-05,19,2026-05-Q1,,,,,,,,,
17-may-2026,Sueldos/Comisiones,,corte Gaby,,MXN," $5.475,00",Tarjeta,,"1,00","5.475,00",2026-05,20,2026-05-Q2,,,,,,,,,
17-may-2026,Sueldos/Comisiones,,cote Fanny,,MXN," $7.441,00",Tarjeta,,"1,00","7.441,00",2026-05,20,2026-05-Q2,,,,,,,,,
17-may-2026,Sueldos/Comisiones,,corte Nati,,MXN," $560,00",Tarjeta,,"1,00","560,00",2026-05,20,2026-05-Q2,,,,,,,,,
18-may-2026,Retiros -Mariana,,,terapia,USD," $100,00",Tarjeta,,"17,00","1.700,00",2026-05,21,2026-05-Q2,,,,,,,,,
19-may-2026,Gastos Operativos,,mercado libre,,MXN," $2.722,00",Tarjeta,,"1,00","2.722,00",2026-05,21,2026-05-Q2,,,,,,,,,
19-may-2026,Retiros -Mariana,,comida jesi,,MXN," $290,00",Tarjeta,,"1,00","290,00",2026-05,21,2026-05-Q2,,,,,,,,,
20-may-2026,Gastos Operativos,,CM,,USD," $150,00",Tarjeta,,"17,00","2.550,00",2026-05,21,2026-05-Q2,,,,,,,,,
20-may-2026,Gastos Operativos,,super waldos,,MXN," $517,00",Efectivo,,"1,00","517,00",2026-05,21,2026-05-Q2,,,,,,,,,
20-may-2026,Productos ,,kalami,,MXN," $840,00",Efectivo,,"1,00","840,00",2026-05,21,2026-05-Q2,,,,,,,,,
20-may-2026,Gastos Operativos,,uniformes,,MXN," $1.200,00",Efectivo,,"1,00","1.200,00",2026-05,21,2026-05-Q2,,,,,,,,,
23-may-2026,Retiros -Mariana,,,,MXN," $400,00",Efectivo,,"1,00","400,00",2026-05,21,2026-05-Q2,,,,,,,,,
23-may-2026,Retiros -Mariana,,,,MXN," $260,00",Efectivo,,"1,00","260,00",2026-05,21,2026-05-Q2,,,,,,,,,
23-may-2026,Gastos Operativos,,chedraui super,,MXN," $820,00",Tarjeta,,"1,00","820,00",2026-05,21,2026-05-Q2,,,,,,,,,
23-may-2026,Retiros -Mariana,,,,MXN," $660,00",Tarjeta,,"1,00","660,00",2026-05,21,2026-05-Q2,,,,,,,,,
28-may-2026,Retiros -Mariana,,,,MXN," $1.324,00",Tarjeta,,"1,00","1.324,00",2026-05,22,2026-05-Q2,,,,,,,,,
28-may-2026,Retiros -Mariana,,comida,,MXN," $700,00",Tarjeta,,"1,00","700,00",2026-05,22,2026-05-Q2,,,,,,,,,
28-may-2026,Retiros -Mariana,,compras,,MXN," $636,00",Tarjeta,,"1,00","636,00",2026-05,22,2026-05-Q2,,,,,,,,,
29-may-2026,Otros,,contador,,MXN," $800,00",Tarjeta,,"1,00","800,00",2026-05,22,2026-05-Q2,,,,,,,,,
30-may-2026,Retiros -Mariana,,super,,MXN," $1.700,00",Efectivo,,"1,00","1.700,00",2026-05,22,2026-05-Q2,,,,,,,,,
30-may-2026,Retiros -Mariana,,,,MXN," $250,00",Efectivo,,"1,00","250,00",2026-05,22,2026-05-Q2,,,,,,,,,
30-may-2026,Retiros -Mariana,,serendipity agenda,,MXN," $300,00",Tarjeta,,"1,00","300,00",2026-05,22,2026-05-Q2,,,,,,,,,
30-may-2026,Gastos Operativos,,serendipity impresiones,,MXN," $490,00",Tarjeta,,"1,00","490,00",2026-05,22,2026-05-Q2,,,,,,,,,
01-jun-2026,Sueldos/Comisiones,,corte Fanny,,MXN," $7.224,00",Tarjeta,,"1,00","7.224,00",2026-06,23,2026-06-Q1,,,,,,,,,
01-jun-2026,Sueldos/Comisiones,,corte Gaby,,MXN," $10.125,00",Efectivo,,"1,00","10.125,00",2026-06,23,2026-06-Q1,,,,,,,,,
01-jun-2026,Sueldos/Comisiones,,corte Maru,,MXN," $5.000,00",Efectivo,,"1,00","5.000,00",2026-06,23,2026-06-Q1,,,,,,,,,
01-jun-2026,Sueldos/Comisiones,,corte Abril,,MXN," $4.600,00",Efectivo,,"1,00","4.600,00",2026-06,23,2026-06-Q1,,,,,,,,,
02-jun-2026,Retiros -Mariana,,,,MXN," $900,00",Tarjeta,,"1,00","900,00",2026-06,23,2026-06-Q1,,,,,,,,,
02-jun-2026,Retiros -Mariana,,comida Jesi,,MXN," $130,00",Tarjeta,,"1,00","130,00",2026-06,23,2026-06-Q1,,,,,,,,,
03-jun-2026,Servicios,,supcripcion Fresha,,MXN," $447,00",Tarjeta,,"1,00","447,00",2026-06,23,2026-06-Q1,,,,,,,,,
03-may-2026,Gastos Operativos,,compras mercado libre local,,MXN," $800,00",Tarjeta,,"1,00","800,00",2026-05,18,2026-05-Q1,,,,,,,,,
04-jun-2026,Retiros -Mariana,,,,MXN," $311,00",Tarjeta,,"1,00","311,00",2026-06,23,2026-06-Q1,,,,,,,,,
05-jun-2026,Renta,,local,,MXN," $9.100,00",Efectivo,,"1,00","9.100,00",2026-06,23,2026-06-Q1,,,,,,,,,
05-jun-2026,Impuestos,,fiscal,,MXN," $3.000,00",Efectivo,,"1,00","3.000,00",2026-06,23,2026-06-Q1,,,,,,,,,
05-jun-2026,Renta,,local,,MXN," $6.400,00",Tarjeta,,"1,00","6.400,00",2026-06,23,2026-06-Q1,,,,,,,,,
06-jun-2026,Impuestos,,fiscal,,MXN," $500,00",Tarjeta,,"1,00","500,00",2026-06,23,2026-06-Q1,,,,,,,,,
06-jun-2026,Gastos Operativos,,cfe local,,MXN," $1.223,00",Tarjeta,,"1,00","1.223,00",2026-06,23,2026-06-Q1,,,,,,,,,
07-jun-2026,,,cambio de tarjeta a efectivo,,MXN," $2.000,00",Tarjeta,,"1,00","2.000,00",2026-06,23,2026-06-Q1,,,,,,,,,
07-jun-2026,,,cambio de tarjeta a efectivo,,MXN,"- $2.000,00",Efectivo,,"1,00","-2.000,00",2026-06,23,2026-06-Q1,,,,,,,,,
08-jun-2026,Retiros -Mariana,,,,MXN," $700,00",Tarjeta,,"1,00","700,00",2026-06,24,2026-06-Q1,,,,,,,,,
09-jun-2026,,,cambio efectivo a tarjeta,,MXN," $550,00",Efectivo,,"1,00","550,00",2026-06,24,2026-06-Q1,,,,,,,,,
09-jun-2026,,,cambio efectivo a tarjeta,,MXN,"- $550,00",Tarjeta,,"1,00","-550,00",2026-06,24,2026-06-Q1,,,,,,,,,
09-jun-2026,Retiros -Mariana,,comida jessi,,MXN," $130,00",Tarjeta,,"1,00","130,00",2026-06,24,2026-06-Q1,,,,,,,,,
09-jun-2026,Gastos Operativos,,mercado libre,,MXN," $530,00",Tarjeta,,"1,00","530,00",2026-06,24,2026-06-Q1,,,,,,,,,
10-jun-2026,Sueldos/Comisiones,,Corte Nati,,MXN," $600,00",Tarjeta,,"1,00","600,00",2026-06,24,2026-06-Q1,,,,,,,,,
10-jun-2026,Productos ,,Kalani,,MXN," $1.064,00",Efectivo,,"1,00","1.064,00",2026-06,24,2026-06-Q1,,,,,,,,,
10-jun-2026,Gastos Operativos,,Waldos,,MXN," $186,00",Efectivo,,"1,00","186,00",2026-06,24,2026-06-Q1,,,,,,,,,
10-abr-2026,Gastos Operativos,,agua daniel,,MXN," $60,00",Efectivo,,"1,00","60,00",2026-04,15,2026-04-Q1,,,,,,,,,
11-jun-2026,,,cambio efectivo a tarjeta,,MXN," $1.000,00",Efectivo,,"1,00","1.000,00",2026-06,24,2026-06-Q1,,,,,,,,,
11-jun-2026,,,cambio efectivo a tarjeta,,MXN,"- $1.000,00",Tarjeta,,"1,00","-1.000,00",2026-06,24,2026-06-Q1,,,,,,,,,
11-jun-2026,Productos ,,the house ,,MXN," $200,00",Efectivo,,"1,00","200,00",2026-06,24,2026-06-Q1,,,,,,,,,
11-jun-2026,Otros,,focos led local,,MXN," $100,00",Efectivo,,"1,00","100,00",2026-06,24,2026-06-Q1,,,,,,,,,
13-jun-2026,Retiros -Mariana,,gastos,,MXN," $3.900,00",Tarjeta,,"1,00","3.900,00",2026-06,24,2026-06-Q1,,,,,,,,,
13-jun-2026,Gastos Operativos,,suscripcion Chat gpt,,MXN," $438,00",Tarjeta,,"1,00","438,00",2026-06,24,2026-06-Q1,,,,,,,,,
13-jun-2026,Sueldos/Comisiones,,adelanto Fanny,,MXN," $1.000,00",Tarjeta,,"1,00","1.000,00",2026-06,24,2026-06-Q1,,,,,,,,,
13-jun-2026,Otros,,suscripcion Amazon,,MXN," $239,00",Tarjeta,,"1,00","239,00",2026-06,24,2026-06-Q1,,,,,,,,,
13-jun-2026,Otros,,suscripcion Apple,,MXN," $179,00",Tarjeta,,"1,00","179,00",2026-06,24,2026-06-Q1,,,,,,,,,
13-jun-2026,Retiros -Mariana,,supermercado,,MXN," $615,00",Tarjeta,,"1,00","615,00",2026-06,24,2026-06-Q1,,,,,,,,,
14-jun-2026,Gastos Operativos,,uniforme Fanny,,MXN," $269,00",Tarjeta,,"1,00","269,00",2026-06,24,2026-06-Q1,,,,,,,,,
14-jun-2026,Otros,,contador,,MXN," $800,00",Tarjeta,,"1,00","800,00",2026-06,24,2026-06-Q1,,,,,,,,,
14-jun-2026,Retiros -Mariana,,renta depto Maru,,MXN," $3.000,00",Tarjeta,,"1,00","3.000,00",2026-06,24,2026-06-Q1,,,,,,,,,
16-jun-2026,Productos ,,Amazon limas,,MXN," $292,00",Tarjeta,,"1,00","292,00",2026-06,25,2026-06-Q2,,,,,,,,,
16-jun-2026,Retiros -Mariana,,comida jessi,,MXN," $130,00",Tarjeta,,"1,00","130,00",2026-06,25,2026-06-Q2,,,,,,,,,
16-jun-2026,Retiros -Mariana,,gastos bs as,,MXN," $816,00",Tarjeta,,"1,00","816,00",2026-06,25,2026-06-Q2,,,,,,,,,
16-jun-2026,Retiros -Mariana,,gasto maru aeropuerto,,MXN," $1.400,00",Efectivo,,"1,00","1.400,00",2026-06,25,2026-06-Q2,,,,,,,,,
16-jun-2026,Sueldos/Comisiones,,corte Gaby,,MXN," $8.526,00",Tarjeta,,"1,00","8.526,00",2026-06,25,2026-06-Q2,,,,,,,,,
16-jun-2026,Sueldos/Comisiones,,corte Fanny,,MXN," $7.723,00",Tarjeta,,"1,00","7.723,00",2026-06,25,2026-06-Q2,,,,,,,,,
16-jun-2026,Sueldos/Comisiones,,corte Abril,,MXN," $4.000,00",Efectivo,,"1,00","4.000,00",2026-06,25,2026-06-Q2,,,,,,,,,
17-jun-2026,Renta,,luz local,,MXN," $2.106,00",Tarjeta,,"1,00","2.106,00",2026-06,25,2026-06-Q2,,,,,,,,,
18-jun-2026,Otros,,multa SAT,,MXN," $3.200,00",Efectivo,,"1,00","3.200,00",2026-06,25,2026-06-Q2,,,,,,,,,
19-jun-2026,Gastos Operativos,,compras local chedraui,,MXN," $455,00",Efectivo,,"1,00","455,00",2026-06,25,2026-06-Q2,,,,,,,,,
19-jun-2026,Gastos Operativos,,bolsas de basura,,MXN," $50,00",Efectivo,,"1,00","50,00",2026-06,25,2026-06-Q2,,,,,,,,,
20-jun-2026,Sueldos/Comisiones,,adelanto Fanny,,MXN," $3.000,00",Tarjeta,,"1,00","3.000,00",2026-06,25,2026-06-Q2,,,,,,,,,
22-jun-2026,Marketing,,publicidad,,MXN," $1.440,00",Tarjeta,,"1,00","1.440,00",2026-06,26,2026-06-Q2,,,,,,,,,
23-jun-2026,Retiros -Mariana,,gastos Mariana tarjeta,,MXN," $2.200,00",Tarjeta,,"1,00","2.200,00",2026-06,26,2026-06-Q2,,,,,,,,,
23-jun-2026,Retiros -Mariana,,lente camara,,MXN," $1.100,00",Tarjeta,,"1,00","1.100,00",2026-06,26,2026-06-Q2,,,,,,,,,
25-jun-2026,Gastos Operativos,,the house ,,MXN," $320,00",Efectivo,,"1,00","320,00",2026-06,26,2026-06-Q2,,,,,,,,,
27-jun-2026,Gastos Operativos,,chedraui agua micelar,,MXN," $118,00",Efectivo,,"1,00","118,00",2026-06,26,2026-06-Q2,,,,,,,,,
29-jun-2026,Gastos Operativos,,serendipity impresiones,,MXN," $200,00",Tarjeta,,"1,00","200,00",2026-06,27,2026-06-Q2,,,,,,,,,
29-jun-2026,Gastos Operativos,,chedraui compras local,,MXN," $305,00",Efectivo,,"1,00","305,00",2026-06,27,2026-06-Q2,,,,,,,,,
29-jun-2026,Gastos Operativos,,mercado libre,,MXN," $1.227,00",Efectivo,,"1,00","1.227,00",2026-06,27,2026-06-Q2,,,,,,,,,
29-jun-2026,Gastos Operativos,,sahumerios,,MXN," $90,00",Efectivo,,"1,00","90,00",2026-06,27,2026-06-Q2,,,,,,,,,
29-jun-2026,Gastos Operativos,,mercado libre,,MXN," $439,53",Tarjeta,,"1,00","439,53",2026-06,27,2026-06-Q2,,,,,,,,,
30-jun-2026,Gastos Operativos,,agua daniel,,MXN," $60,00",Efectivo,,"1,00","60,00",2026-06,27,2026-06-Q2,,,,,,,,,
30-jun-2026,Retiros -Mariana,,gastos mariana tarjeta,varios tarjeta,MXN," $3.237,00",Tarjeta,,"1,00","3.237,00",2026-06,27,2026-06-Q2,,,,,,,,,
30-jun-2026,Gastos Operativos,,chat gpt suscripcion,,MXN," $400,00",Tarjeta,,"1,00","400,00",2026-06,27,2026-06-Q2,,,,,,,,,
30-jun-2026,Gastos Operativos,,uber tarjeta,,MXN," $820,00",Tarjeta,,"1,00","820,00",2026-06,27,2026-06-Q2,,,,,,,,,
30-jun-2026,Gastos Operativos,,suscripciones,,MXN," $314,00",Tarjeta,,"1,00","314,00",2026-06,27,2026-06-Q2,,,,,,,,,
01-jul-2026,Productos ,,desayuno nimeño,,MXN," $600,00",Efectivo,,"1,00","600,00",2026-07,27,2026-07-Q1,,,,,,,,,
01-jul-2026,Sueldos/Comisiones,,corte Fanny,,MXN," $10.195,00",Tarjeta,,"1,00","10.195,00",2026-07,27,2026-07-Q1,,,,,,,,,
01-jul-2026,Sueldos/Comisiones,,corte Gaby,,MXN," $12.038,00",Tarjeta,,"1,00","12.038,00",2026-07,27,2026-07-Q1,,,,,,,,,
01-jul-2026,Sueldos/Comisiones,,corte Abril,,MXN," $4.000,00",Efectivo,,"1,00","4.000,00",2026-07,27,2026-07-Q1,,,,,,,,,